#,hora_local,hora_utc,cuenta,nombre,tipo,likes,reposts,respuestas,texto,url
50,2026-09-24 12:56,2026-09-24 17:56,@elheraldoco,EL HERALDO,,3,0,0,#EnVivo | El vicepresidente José Manuel Restrepo habla ante la Asamblea General de la ONU en Nueva York Siga aquí la transmisión https:// tinyurl.com/mr225dnx,https://x.com/elheraldoco/status/2103181815561216100
51,2026-09-24 12:57,2026-09-24 17:57,@ELTIEMPO,EL TIEMPO,,4,1,0,"""Un Gobierno que apenas comenzaba tuvo que enfrentar las mayores tragedias naturales de nuestra historia reciente. No hubo tiempo para preguntar si estábamos preparados. Había que actuar y actuamos"": el vicepresidente José Manuel Restrepo habló sobre el devastador terremoto del",https://x.com/ELTIEMPO/status/2103181972839485772
52,2026-09-24 12:57,2026-09-24 17:57,@IHearCovfefe,John S. Mosby,,0,0,0,Colombia VP Jose Manuel Restrepo is speaking. Bibi is up next,https://x.com/IHearCovfefe/status/2103182002593902956
53,2026-09-24 12:57,2026-09-24 17:57,@TelemundoNews,Noticias Telemundo,,1,0,0,"El discurso de José Manuel Restrepo, vicepresidente de Colombia, ante la ONU.",https://x.com/TelemundoNews/status/2103182072546222573
54,2026-09-24 12:57,2026-09-24 17:57,@diariodelhuila,Diario del Huila,,1,1,0,José Manuel Restrepo agradeció ante la ONU la ayuda internacional enviada a los damnificados por el terremoto del 10 de agosto #Colombia #ONU #Terremoto #Huila #AyudaHumanitaria,https://x.com/diariodelhuila/status/2103182071036260690
55,2026-09-24 12:59,2026-09-24 17:59,@TavoAgudelo529,Gustavo Agudelo M,,0,0,0,Será que los zánganos petristas irán a pedir derecho a la réplica al discurso del Vicepresidente José Manuel Restrepo en el recinto de la ONU?,https://x.com/TavoAgudelo529/status/2103182507013259707
56,2026-09-24 12:59,2026-09-24 17:59,@RevistaSemana,Revista Semana,,54,26,0,El vicepresidente José Manuel Restrepo transmitió ante la Asamblea General de la ONU un mensaje del presidente Abelardo De La Espriella: “Organizaciones que asesinan y secuestran son grupos terroristas”. https:// semana.com,https://x.com/RevistaSemana/status/2103182644041462109
57,2026-09-24 13:00,2026-09-24 18:00,@LaRazonCo,LA RAZÓN. CO,,2,1,0,"#Mundo | El vicepresidente José Manuel Restrepo aseguró ante la ONU que su gobierno prioriza la recuperación de la seguridad en Colombia mediante el restablecimiento de la autoridad estatal y el control territorial. Durante su intervención, denunció situaciones como la extorsión",https://x.com/LaRazonCo/status/2103182701209567252
58,2026-09-24 13:00,2026-09-24 18:00,@jrestrp,José Manuel Restrepo Abondano,,125,54,13,"Colombia habla ante el mundo. En la Asamblea General de la ONU, el vicepresidente José Manuel Restrepo, en representación del presidente Abelardo De La Espriella, deja un mensaje claro: un país que no se rinde, que quiere volver a confiar en sí mismo y que invita al mundo a",https://x.com/jrestrp/status/2103182816867655957
59,2026-09-24 13:01,2026-09-24 18:01,@elespectador,El Espectador,,1,0,0,El vicepresidente José Manuel Restrepo habló ante la ONU con el discurso del presidente Abelardo de la Espriella. Esto dijo.,https://x.com/elespectador/status/2103183018454126600
